,inputs,targets
0,"Eq(62*f(x) - 541*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(541 - sqrt(292433))/2) + C2*exp(x*(sqrt(292433) + 541)/2))"
1,"Eq(179*f(x) - 866*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(433 - sqrt(187310))) + C2*exp(x*(sqrt(187310) + 433)))"
2,"Eq(370*f(x) - 425*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(425 - 3*sqrt(19905))/2) + C2*exp(x*(3*sqrt(19905) + 425)/2))"
3,"Eq(398*f(x) - 483*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(483 - sqrt(231697))/2) + C2*exp(x*(sqrt(231697) + 483)/2))"
4,"Eq(214*f(x) - 163*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(163 - 3*sqrt(2857))/2) + C2*exp(x*(3*sqrt(2857) + 163)/2))"
5,"Eq(48*f(x) - 886*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(443 - sqrt(196201))) + C2*exp(x*(sqrt(196201) + 443)))"
6,"Eq(144*f(x) - 865*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(865 - 29*sqrt(889))/2) + C2*exp(x*(29*sqrt(889) + 865)/2))"
7,"Eq(287*f(x) - 953*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(953 - sqrt(907061))/2) + C2*exp(x*(sqrt(907061) + 953)/2))"
8,"Eq(64*f(x) - 104*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(4*x*(13 - sqrt(165))) + C2*exp(4*x*(sqrt(165) + 13)))"
9,"Eq(105*f(x) - 745*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(745 - sqrt(554605))/2) + C2*exp(x*(sqrt(554605) + 745)/2))"
10,"Eq(329*f(x) - 153*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(153 - sqrt(22093))/2) + C2*exp(x*(sqrt(22093) + 153)/2))"
11,"Eq(119*f(x) - 714*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(357 - sqrt(127330))) + C2*exp(x*(sqrt(127330) + 357)))"
12,"Eq(106*f(x) - 981*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(981 - sqrt(961937))/2) + C2*exp(x*(sqrt(961937) + 981)/2))"
13,"Eq(377*f(x) - 773*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(773 - sqrt(596021))/2) + C2*exp(x*(sqrt(596021) + 773)/2))"
14,"Eq(326*f(x) - 553*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(553 - sqrt(304505))/2) + C2*exp(x*(sqrt(304505) + 553)/2))"
15,"Eq(98*f(x) - 886*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(443 - sqrt(196151))) + C2*exp(x*(sqrt(196151) + 443)))"
16,"Eq(f(x) - 253*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(253 - sqrt(64005))/2) + C2*exp(x*(sqrt(64005) + 253)/2))"
17,"Eq(370*f(x) - 145*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(145 - sqrt(19545))/2) + C2*exp(x*(sqrt(19545) + 145)/2))"
18,"Eq(115*f(x) - 456*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(228 - sqrt(51869))) + C2*exp(x*(sqrt(51869) + 228)))"
19,"Eq(276*f(x) - 311*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(311 - sqrt(95617))/2) + C2*exp(x*(sqrt(95617) + 311)/2))"
20,"Eq(306*f(x) - 173*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(173 - sqrt(28705))/2) + C2*exp(x*(sqrt(28705) + 173)/2))"
21,"Eq(234*f(x) - 844*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(422 - 5*sqrt(7114))) + C2*exp(x*(5*sqrt(7114) + 422)))"
22,"Eq(308*f(x) - 224*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(56 - sqrt(3059))) + C2*exp(2*x*(sqrt(3059) + 56)))"
23,"Eq(338*f(x) - 295*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(295 - sqrt(85673))/2) + C2*exp(x*(sqrt(85673) + 295)/2))"
24,"Eq(331*f(x) - 869*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(869 - sqrt(753837))/2) + C2*exp(x*(sqrt(753837) + 869)/2))"
25,"Eq(374*f(x) - 259*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(259 - sqrt(65585))/2) + C2*exp(x*(sqrt(65585) + 259)/2))"
26,"Eq(307*f(x) - 537*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(537 - sqrt(287141))/2) + C2*exp(x*(sqrt(287141) + 537)/2))"
27,"Eq(361*f(x) - 953*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(953 - sqrt(906765))/2) + C2*exp(x*(sqrt(906765) + 953)/2))"
28,"Eq(118*f(x) - 160*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(80 - 3*sqrt(698))) + C2*exp(x*(3*sqrt(698) + 80)))"
29,"Eq(48*f(x) - 330*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(165 - sqrt(27177))) + C2*exp(x*(sqrt(27177) + 165)))"
30,"Eq(269*f(x) - 484*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(242 - sqrt(58295))) + C2*exp(x*(sqrt(58295) + 242)))"
31,"Eq(195*f(x) - 54*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(27 - sqrt(534))) + C2*exp(x*(sqrt(534) + 27)))"
32,"Eq(197*f(x) - 311*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(311 - sqrt(95933))/2) + C2*exp(x*(sqrt(95933) + 311)/2))"
33,"Eq(63*f(x) - 856*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(428 - sqrt(183121))) + C2*exp(x*(sqrt(183121) + 428)))"
34,"Eq(297*f(x) - 598*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(299 - 4*sqrt(5569))) + C2*exp(x*(4*sqrt(5569) + 299)))"
35,"Eq(241*f(x) - 586*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(293 - 6*sqrt(2378))) + C2*exp(x*(6*sqrt(2378) + 293)))"
