,inputs,targets
0,"Eq(47*f(x) - 700*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(350 - sqrt(122453))) + C2*exp(x*(sqrt(122453) + 350)))"
1,"Eq(202*f(x) - 991*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(991 - sqrt(981273))/2) + C2*exp(x*(sqrt(981273) + 991)/2))"
2,"Eq(188*f(x) - 801*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(801 - sqrt(640849))/2) + C2*exp(x*(sqrt(640849) + 801)/2))"
3,"Eq(83*f(x) - 244*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(122 - 19*sqrt(41))) + C2*exp(x*(19*sqrt(41) + 122)))"
4,"Eq(200*f(x) - 797*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(797 - sqrt(634409))/2) + C2*exp(x*(sqrt(634409) + 797)/2))"
5,"Eq(233*f(x) - 285*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(285 - sqrt(80293))/2) + C2*exp(x*(sqrt(80293) + 285)/2))"
6,"Eq(264*f(x) - 879*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(879 - sqrt(771585))/2) + C2*exp(x*(sqrt(771585) + 879)/2))"
7,"Eq(393*f(x) - 503*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(503 - sqrt(251437))/2) + C2*exp(x*(sqrt(251437) + 503)/2))"
8,"Eq(163*f(x) - 9*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), (C1*sin(sqrt(571)*x/2) + C2*cos(sqrt(571)*x/2))*exp(9*x/2))"
9,"Eq(102*f(x) - 885*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(885 - sqrt(782817))/2) + C2*exp(x*(sqrt(782817) + 885)/2))"
10,"Eq(81*f(x) - 467*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(467 - sqrt(217765))/2) + C2*exp(x*(sqrt(217765) + 467)/2))"
11,"Eq(115*f(x) - 767*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(767 - sqrt(587829))/2) + C2*exp(x*(sqrt(587829) + 767)/2))"
12,"Eq(219*f(x) - 890*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(445 - sqrt(197806))) + C2*exp(x*(sqrt(197806) + 445)))"
13,"Eq(7*f(x) - 123*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(123 - sqrt(15101))/2) + C2*exp(x*(sqrt(15101) + 123)/2))"
14,"Eq(56*f(x) - 244*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(61 - sqrt(3707))) + C2*exp(2*x*(sqrt(3707) + 61)))"
15,"Eq(54*f(x) - 447*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(149 - sqrt(22177))/2) + C2*exp(3*x*(sqrt(22177) + 149)/2))"
16,"Eq(201*f(x) - 16*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), (C1*sin(sqrt(137)*x) + C2*cos(sqrt(137)*x))*exp(8*x))"
17,"Eq(341*f(x) - 102*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(51 - 2*sqrt(565))) + C2*exp(x*(2*sqrt(565) + 51)))"
18,"Eq(166*f(x) - 29*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(29 - sqrt(177))/2) + C2*exp(x*(sqrt(177) + 29)/2))"
19,"Eq(58*f(x) - 551*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(551 - sqrt(303369))/2) + C2*exp(x*(sqrt(303369) + 551)/2))"
20,"Eq(323*f(x) - 503*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(503 - sqrt(251717))/2) + C2*exp(x*(sqrt(251717) + 503)/2))"
21,"Eq(146*f(x) - 972*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(486 - 5*sqrt(9442))) + C2*exp(x*(5*sqrt(9442) + 486)))"
22,"Eq(360*f(x) - 531*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(177 - sqrt(31169))/2) + C2*exp(3*x*(sqrt(31169) + 177)/2))"
23,"Eq(107*f(x) - 995*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(995 - sqrt(989597))/2) + C2*exp(x*(sqrt(989597) + 995)/2))"
