,inputs,targets
0,"Eq(371*f(x) - 919*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(919 - sqrt(843077))/2) + C2*exp(x*(sqrt(843077) + 919)/2))"
1,"Eq(177*f(x) - 971*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(971 - sqrt(942133))/2) + C2*exp(x*(sqrt(942133) + 971)/2))"
2,"Eq(148*f(x) - 336*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(84 - sqrt(7019))) + C2*exp(2*x*(sqrt(7019) + 84)))"
3,"Eq(25*f(x) - 542*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(271 - 2*sqrt(18354))) + C2*exp(x*(2*sqrt(18354) + 271)))"
4,"Eq(97*f(x) - 61*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(61 - sqrt(3333))/2) + C2*exp(x*(sqrt(3333) + 61)/2))"
5,"Eq(36*f(x) - 101*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(101 - sqrt(10057))/2) + C2*exp(x*(sqrt(10057) + 101)/2))"
6,"Eq(372*f(x) - 641*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(641 - sqrt(409393))/2) + C2*exp(x*(sqrt(409393) + 641)/2))"
7,"Eq(132*f(x) - 795*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(795 - sqrt(631497))/2) + C2*exp(x*(sqrt(631497) + 795)/2))"
8,"Eq(359*f(x) - 303*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(303 - sqrt(90373))/2) + C2*exp(x*(sqrt(90373) + 303)/2))"
9,"Eq(93*f(x) - 440*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(220 - sqrt(48307))) + C2*exp(x*(sqrt(48307) + 220)))"
10,"Eq(386*f(x) - 506*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(253 - sqrt(63623))) + C2*exp(x*(sqrt(63623) + 253)))"
11,"Eq(255*f(x) - 551*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(551 - sqrt(302581))/2) + C2*exp(x*(sqrt(302581) + 551)/2))"
12,"Eq(354*f(x) - 695*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(695 - sqrt(481609))/2) + C2*exp(x*(sqrt(481609) + 695)/2))"
13,"Eq(67*f(x) - 317*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(317 - sqrt(100221))/2) + C2*exp(x*(sqrt(100221) + 317)/2))"
14,"Eq(30*f(x) - 950*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(475 - sqrt(225595))) + C2*exp(x*(sqrt(225595) + 475)))"
15,"Eq(9*f(x) - 170*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(85 - 4*sqrt(451))) + C2*exp(x*(4*sqrt(451) + 85)))"
16,"Eq(184*f(x) - 824*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(206 - 3*sqrt(4710))) + C2*exp(2*x*(3*sqrt(4710) + 206)))"
17,"Eq(54*f(x) - 302*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(151 - 23*sqrt(43))) + C2*exp(x*(23*sqrt(43) + 151)))"
18,"Eq(36*f(x) - 895*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(895 - sqrt(800881))/2) + C2*exp(x*(sqrt(800881) + 895)/2))"
19,"Eq(34*f(x) - 791*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(791 - 3*sqrt(69505))/2) + C2*exp(x*(3*sqrt(69505) + 791)/2))"
20,"Eq(321*f(x) - 330*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(165 - 2*sqrt(6726))) + C2*exp(x*(2*sqrt(6726) + 165)))"
21,"Eq(289*f(x) - 783*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(783 - sqrt(611933))/2) + C2*exp(x*(sqrt(611933) + 783)/2))"
22,"Eq(193*f(x) - 591*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(591 - sqrt(348509))/2) + C2*exp(x*(sqrt(348509) + 591)/2))"
23,"Eq(297*f(x) - 520*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(260 - sqrt(67303))) + C2*exp(x*(sqrt(67303) + 260)))"
24,"Eq(201*f(x) - 548*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(274 - 5*sqrt(2995))) + C2*exp(x*(5*sqrt(2995) + 274)))"
25,"Eq(262*f(x) - 369*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(369 - sqrt(135113))/2) + C2*exp(x*(sqrt(135113) + 369)/2))"
26,"Eq(329*f(x) - 37*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(37 - sqrt(53))/2) + C2*exp(x*(sqrt(53) + 37)/2))"
27,"Eq(11*f(x) - 265*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(265 - sqrt(70181))/2) + C2*exp(x*(sqrt(70181) + 265)/2))"
28,"Eq(210*f(x) - 240*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(120 - sqrt(14190))) + C2*exp(x*(sqrt(14190) + 120)))"
29,"Eq(56*f(x) - 281*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(281 - sqrt(78737))/2) + C2*exp(x*(sqrt(78737) + 281)/2))"
30,"Eq(157*f(x) - 490*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(245 - 6*sqrt(1663))) + C2*exp(x*(6*sqrt(1663) + 245)))"
31,"Eq(190*f(x) - 129*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(129 - sqrt(15881))/2) + C2*exp(x*(sqrt(15881) + 129)/2))"
32,"Eq(196*f(x) - 769*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(769 - sqrt(590577))/2) + C2*exp(x*(sqrt(590577) + 769)/2))"
33,"Eq(166*f(x) - 239*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(239 - 9*sqrt(697))/2) + C2*exp(x*(9*sqrt(697) + 239)/2))"
34,"Eq(255*f(x) - 978*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(489 - sqrt(238866))) + C2*exp(x*(sqrt(238866) + 489)))"
35,"Eq(47*f(x) - 395*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(395 - sqrt(155837))/2) + C2*exp(x*(sqrt(155837) + 395)/2))"
36,"Eq(19*f(x) - 325*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(325 - sqrt(105549))/2) + C2*exp(x*(sqrt(105549) + 325)/2))"
37,"Eq(311*f(x) - 905*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(905 - sqrt(817781))/2) + C2*exp(x*(sqrt(817781) + 905)/2))"
38,"Eq(319*f(x) - 45*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(45 - sqrt(749))/2) + C2*exp(x*(sqrt(749) + 45)/2))"
39,"Eq(331*f(x) - 377*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(377 - 3*sqrt(15645))/2) + C2*exp(x*(3*sqrt(15645) + 377)/2))"
40,"Eq(285*f(x) - 155*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(155 - sqrt(22885))/2) + C2*exp(x*(sqrt(22885) + 155)/2))"
41,"Eq(297*f(x) - 133*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(133 - sqrt(16501))/2) + C2*exp(x*(sqrt(16501) + 133)/2))"
42,"Eq(149*f(x) - 864*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(432 - 5*sqrt(7459))) + C2*exp(x*(5*sqrt(7459) + 432)))"
43,"Eq(165*f(x) - 548*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(274 - sqrt(74911))) + C2*exp(x*(sqrt(74911) + 274)))"
44,"Eq(182*f(x) - 148*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(74 - sqrt(5294))) + C2*exp(x*(sqrt(5294) + 74)))"
45,"Eq(111*f(x) - 640*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(320 - sqrt(102289))) + C2*exp(x*(sqrt(102289) + 320)))"
46,"Eq(48*f(x) - 344*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(4*x*(43 - sqrt(1846))) + C2*exp(4*x*(sqrt(1846) + 43)))"
47,"Eq(169*f(x) - 439*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(439 - sqrt(192045))/2) + C2*exp(x*(sqrt(192045) + 439)/2))"
48,"Eq(243*f(x) - 240*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(40 - 11*sqrt(13))) + C2*exp(3*x*(11*sqrt(13) + 40)))"
49,"Eq(203*f(x) - 23*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), (C1*sin(sqrt(283)*x/2) + C2*cos(sqrt(283)*x/2))*exp(23*x/2))"
50,"Eq(158*f(x) - 489*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(489 - sqrt(238489))/2) + C2*exp(x*(sqrt(238489) + 489)/2))"
51,"Eq(229*f(x) - 951*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(951 - sqrt(903485))/2) + C2*exp(x*(sqrt(903485) + 951)/2))"
52,"Eq(103*f(x) - 620*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(310 - sqrt(95997))) + C2*exp(x*(sqrt(95997) + 310)))"
53,"Eq(89*f(x) - 338*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(169 - 2*sqrt(7118))) + C2*exp(x*(2*sqrt(7118) + 169)))"
54,"Eq(228*f(x) - 302*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(151 - sqrt(22573))) + C2*exp(x*(sqrt(22573) + 151)))"
55,"Eq(343*f(x) - 488*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(244 - 3*sqrt(6577))) + C2*exp(x*(3*sqrt(6577) + 244)))"
56,"Eq(170*f(x) - 235*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(235 - sqrt(54545))/2) + C2*exp(x*(sqrt(54545) + 235)/2))"
57,"Eq(25*f(x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*sin(5*x) + C2*cos(5*x))"
58,"Eq(395*f(x) - 174*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(87 - sqrt(7174))) + C2*exp(x*(sqrt(7174) + 87)))"
59,"Eq(64*f(x) - 278*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(139 - 7*sqrt(393))) + C2*exp(x*(7*sqrt(393) + 139)))"
60,"Eq(368*f(x) - 473*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(473 - sqrt(222257))/2) + C2*exp(x*(sqrt(222257) + 473)/2))"
61,"Eq(382*f(x) - 561*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(561 - sqrt(313193))/2) + C2*exp(x*(sqrt(313193) + 561)/2))"
62,"Eq(219*f(x) - 634*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(317 - sqrt(100270))) + C2*exp(x*(sqrt(100270) + 317)))"
63,"Eq(142*f(x) - 198*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(99 - sqrt(9659))) + C2*exp(x*(sqrt(9659) + 99)))"
64,"Eq(174*f(x) - 691*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(691 - sqrt(476785))/2) + C2*exp(x*(sqrt(476785) + 691)/2))"
65,"Eq(30*f(x) - 251*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(251 - sqrt(62881))/2) + C2*exp(x*(sqrt(62881) + 251)/2))"
66,"Eq(158*f(x) - 492*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(246 - sqrt(60358))) + C2*exp(x*(sqrt(60358) + 246)))"
